,ITEM NAME ,CATEGORY,UOM,QTY,TOTAL COST,UNIT PRICE,RETAIL,WHOLESALE,EXPIRY DATE,SUPPLIER
80279204,ABDOMINOCENTESIS 1-5kg,SURGERY,SERVICING,,,500.00,1500,,,PAWESOME
89649190, ABORTION,CLINIC/LAB/MEDS,SERVICING,,250,250.00,500,,,PAWESOME
84260246,ACCELAC PAW 60ML,CLINIC/LAB/MEDS,BOTTLE,,678,339.00,450,,,PET717
54233959, NUETER CAT MALE,CLINIC/LAB/MEDS,SERVICING,,600,600.00,1000,,,PAWESOME
96672129, PYOMETRA,CLINIC/LAB/MEDS,SERVICING,,250,250.00,500,,,PAWESOME
63892420,5IN1 VACCINE (TOGALABZ),CLINIC/LAB/MEDS,SERVICING,,4749.25,189.97,500,,9 Jun 2026,
38384172,6IN1VACCINE,CLINIC/LAB/MEDS,PIECES,100,"22,764",227.64,600,,16 Sep 2025,NUVETUS
18507591,6IN1VACCINE (TOGALABZ),CLINIC/LAB/MEDS,PIECES,25,,243.84,600,,18 Aug 2026,TOGALABZ AGRO HARVESTERS TRADING
55270939,8IN1VACCINE,CLINIC/LAB/MEDS,PIECES,100,298.9,"29,890.00",750,,12 Aug 2025,NUVETUS
99213916,AMOXICILLIN - INJECTABLE (1 TO 5KG),CLINIC/LAB/MEDS,SERVICING,,,11.8,200,,,
86637510,AMOXICILLIN - INJECTABLE (5.1 TO 10KG),CLINIC/LAB/MEDS,SERVICING,,,28.75,250,,,
39461636,AMOXICILLIN - INJECTABLE (10.1 TO 15KG),CLINIC/LAB/MEDS,SERVICING,,,30.62,300,,,
97346975,AMOXICILLIN - INJECTABLE (15.1 TO 20KG),CLINIC/LAB/MEDS,SERVICING,,,47.5,350,,,
71683249,AMOXICILLIN - INJECTABLE (20.1 TO 25KG),CLINIC/LAB/MEDS,SERVICING,,,59.37,400,,,
13103385,AMOXICILLIN - INJECTABLE (25.1 TO 30KG),CLINIC/LAB/MEDS,SERVICING,,,71.25,450,,,
40719665,AMOXICILLIN - INJECTABLE (30.1 TO 35KG),CLINIC/LAB/MEDS,SERVICING,,,83.12,500,,,
49963427,AMOXICILLIN - INJECTABLE (35.1 TO 40KG),CLINIC/LAB/MEDS,SERVICING,,,95,550,,,
13438142,AMOXICILLIN - INJECTABLE (40.1 TO 45KG),CLINIC/LAB/MEDS,SERVICING,,,106.9,600,,,
81945832,AMOXICILLIN - INJECTABLE (45.1 TO 50KG),CLINIC/LAB/MEDS,PIECES,,,118.75,650,,,
45972058,AMOXICILLIN - MOXYLOR (PRIMECARE),CLINIC/LAB/MEDS,PIECES,,,21.5,250,,1 Oct 2028,PRIMECARE PHARMA
4806523302814,AMOXICILLIN TRIHYDRATE - EPPITREXIL 250MG/5ML SYRUP,CLINIC/LAB/MEDS,PIECES,10,250,25,250,,1 Mar 2028,
31926010,ANTI-RABIES,CLINIC/LAB/MEDS,PIECES,300,50,,350,,13 Jul 2026,NUVETUS
4806529040260,APOQUEL 5.4MG,CLINIC/LAB/MEDS,PIECES,100,7911.6,79.12,140,,1 Mar 2027,NUVETUS
6920092403173,AOZI DOG CAN - CHICKEN & LIVER ,DOG WET FOOD,PCS,,166,83.00,150,,6/20/2025,PET717 (EWA)
89084779,AOZI DOG CAN - BEEF,DOG WET FOOD,PCS,,166,83.00,150,,,PET717 (EWA)
81558957,ATROPINE,CLINIC/LAB/MEDS,SERVICING,,30,,150,,,
55857468,AUTOMATIC WATER/FOOD DISPENSER 3.8L (LARGE),SUPPLY AND ACCESSORIES,PIECES,1,219,219,600,,,
72096307,BABY BOO DIAPER MEDIUM - MALE (10) PER PIECE,SUPPLY AND ACCESSORIES,PIECES,10,170,17.00,21,,,TML
4806535332106,BABY BOO DIAPER MEDIUM - MALE 1 PACK (10),SUPPLY AND ACCESSORIES,PACK,1,170,170.00,220,,,TML
54896161,BAG CARRIER,SUPPLY AND ACCESSORIES,PIECES,1,145,145,250,,,
35954125,BEARING JERKY DOG TREATS ,DOG TREATS,PIECES,,165,15,25,,,PET717 (EWA)
70289695,BESTGUARD CHOKE CHAIN W/O PLATE,SUPPLY AND ACCESSORIES,PIECES,7,210,30,70,,,
40151618,BED MAT NON SLIP BOTTOM,,,,,,,,,
37038724,BIOLINE EAR DROP,SUPPLY AND ACCESSORIES,PIECES,1,120,120.00,200,,,TML
6970117121902,BIOLINE EAR MITE TREATMENT (30ML),CLINIC/LAB/MEDS,PIECES,2,256,128.00,300,,01/13/2028,SOON SOON SALES CORPORATION
